Using executor HDDTestExecutor with executor options:
{
	m_modulePath='/home/lukasbosshart/workspace/defects4j/bugs/jsoup_9_b/',
	m_sourceFolderPath='src/main/java/',
	m_unitTestFolderPath='src/test/java/',
	m_unitTestMethod='org.jsoup.nodes.EntitiesTest#unescape',
	m_expectedResult='org.junit.ComparisonFailure',
	m_compilationType=IN_MEMORY,
	m_logLevel=INFO,
	m_logCompilationErrors=false,
	m_logRuntimeErrors=false,
	m_multipleRuns=false,
	m_numberOfThreads=16,
	m_preSliceCode=false,
	m_graphAlgorithmFragmentLimit=0,
	m_graphAlgorithmEscalatingFragmentLimit=false,
}
Formatting code in source folder
Level: 0 :::: fragments: 28
Level: 1 :::: fragments: 173
Level: 2 :::: fragments: 1374
Level: 3 :::: fragments: 3537
Level: 4 :::: fragments: 4756
Level: 5 :::: fragments: 7117
Level: 6 :::: fragments: 2641
Level: 7 :::: fragments: 1788
Level: 8 :::: fragments: 1143
Level: 9 :::: fragments: 758
Level: 10 :::: fragments: 455
Level: 11 :::: fragments: 283
Level: 12 :::: fragments: 168
Level: 13 :::: fragments: 122
Level: 14 :::: fragments: 38
Level: 15 :::: fragments: 21
Level: 16 :::: fragments: 18
Level: 17 :::: fragments: 15
Level: 18 :::: fragments: 13
Level: 19 :::: fragments: 8
Level: 20 :::: fragments: 11
Level: 21 :::: fragments: 45
Level: 22 :::: fragments: 1
Total :::: fragments: 24513 out of 24513 originally
############## RUNNING TEST NR. 0 ##############
############## EXECUTING LVL 0-0 / 22 ##############
:::: FAILED :::: level: 0-0 / 22 :::: size: 28 / 28 :::: Compiler calls: 2, compilation errors: 1, runtime errors: 0, failed runs: 1, ok runs: 0
:::: FAILED :::: level: 0-0 / 22 :::: size: 27 / 28 :::: Compiler calls: 60, compilation errors: 45, runtime errors: 0, failed runs: 2, ok runs: 0
Level 0-0 / 22 took 8s 678ms
1111011111111111111111111111
############## After level 0-0 there are 24268 / 24513 fragments left :::: Compiler calls: 87, compilation errors: 85, runtime errors: 0, failed runs: 2, ok runs: 0
############## EXECUTING LVL 0-1 / 22 ##############
:::: FAILED :::: level: 0-1 / 22 :::: size: 164 / 165 :::: Compiler calls: 243, compilation errors: 229, runtime errors: 0, failed runs: 3, ok runs: 0
:::: FAILED :::: level: 0-1 / 22 :::: size: 164 / 165 :::: Compiler calls: 252, compilation errors: 240, runtime errors: 0, failed runs: 4, ok runs: 0
:::: FAILED :::: level: 0-1 / 22 :::: size: 163 / 165 :::: Compiler calls: 275, compilation errors: 259, runtime errors: 0, failed runs: 5, ok runs: 0
Level 0-1 / 22 took 18s 646ms
111111101110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
############## After level 0-1 there are 24258 / 24513 fragments left :::: Compiler calls: 569, compilation errors: 564, runtime errors: 0, failed runs: 5, ok runs: 0
############## EXECUTING LVL 0-2 / 22 ##############
:::: FAILED :::: level: 0-2 / 22 :::: size: 1332 / 1335 :::: Compiler calls: 1264, compilation errors: 1245, runtime errors: 0, failed runs: 6, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1332 / 1335 :::: Compiler calls: 1267, compilation errors: 1252, runtime errors: 0, failed runs: 7, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1332 / 1335 :::: Compiler calls: 1279, compilation errors: 1264, runtime errors: 0, failed runs: 8, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1329 / 1335 :::: Compiler calls: 1461, compilation errors: 1438, runtime errors: 0, failed runs: 9, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1329 / 1335 :::: Compiler calls: 1465, compilation errors: 1451, runtime errors: 0, failed runs: 10, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1327 / 1335 :::: Compiler calls: 1642, compilation errors: 1618, runtime errors: 0, failed runs: 11, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1324 / 1335 :::: Compiler calls: 1855, compilation errors: 1835, runtime errors: 0, failed runs: 12, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1322 / 1335 :::: Compiler calls: 2124, compilation errors: 2100, runtime errors: 0, failed runs: 13, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1320 / 1335 :::: Compiler calls: 2360, compilation errors: 2334, runtime errors: 0, failed runs: 14, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1320 / 1335 :::: Compiler calls: 2363, compilation errors: 2342, runtime errors: 0, failed runs: 15, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1318 / 1335 :::: Compiler calls: 2592, compilation errors: 2564, runtime errors: 0, failed runs: 16, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1316 / 1335 :::: Compiler calls: 2763, compilation errors: 2738, runtime errors: 0, failed runs: 17, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1316 / 1335 :::: Compiler calls: 2785, compilation errors: 2762, runtime errors: 0, failed runs: 18, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1314 / 1335 :::: Compiler calls: 2966, compilation errors: 2934, runtime errors: 0, failed runs: 19, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1312 / 1335 :::: Compiler calls: 3277, compilation errors: 3246, runtime errors: 0, failed runs: 20, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1310 / 1335 :::: Compiler calls: 3670, compilation errors: 3637, runtime errors: 0, failed runs: 21, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1308 / 1335 :::: Compiler calls: 4073, compilation errors: 4040, runtime errors: 0, failed runs: 22, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1306 / 1335 :::: Compiler calls: 4375, compilation errors: 4343, runtime errors: 0, failed runs: 23, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1304 / 1335 :::: Compiler calls: 4765, compilation errors: 4733, runtime errors: 0, failed runs: 24, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1304 / 1335 :::: Compiler calls: 4765, compilation errors: 4735, runtime errors: 0, failed runs: 25, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1302 / 1335 :::: Compiler calls: 5133, compilation errors: 5098, runtime errors: 0, failed runs: 26, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1300 / 1335 :::: Compiler calls: 5530, compilation errors: 5490, runtime errors: 0, failed runs: 27, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1298 / 1335 :::: Compiler calls: 5973, compilation errors: 5938, runtime errors: 0, failed runs: 28, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1298 / 1335 :::: Compiler calls: 5992, compilation errors: 5953, runtime errors: 0, failed runs: 29, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1296 / 1335 :::: Compiler calls: 6367, compilation errors: 6324, runtime errors: 0, failed runs: 30, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1294 / 1335 :::: Compiler calls: 6797, compilation errors: 6755, runtime errors: 0, failed runs: 31, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1294 / 1335 :::: Compiler calls: 6801, compilation errors: 6756, runtime errors: 0, failed runs: 32, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1292 / 1335 :::: Compiler calls: 7225, compilation errors: 7181, runtime errors: 0, failed runs: 33, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1290 / 1335 :::: Compiler calls: 7636, compilation errors: 7591, runtime errors: 0, failed runs: 34, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1288 / 1335 :::: Compiler calls: 8083, compilation errors: 8038, runtime errors: 0, failed runs: 35, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1288 / 1335 :::: Compiler calls: 8102, compilation errors: 8061, runtime errors: 0, failed runs: 36, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1288 / 1335 :::: Compiler calls: 8104, compilation errors: 8061, runtime errors: 0, failed runs: 37, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1286 / 1335 :::: Compiler calls: 8531, compilation errors: 8479, runtime errors: 0, failed runs: 38, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1284 / 1335 :::: Compiler calls: 8992, compilation errors: 8942, runtime errors: 0, failed runs: 39, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1284 / 1335 :::: Compiler calls: 8992, compilation errors: 8942, runtime errors: 0, failed runs: 40, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1284 / 1335 :::: Compiler calls: 9002, compilation errors: 8952, runtime errors: 0, failed runs: 41, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1284 / 1335 :::: Compiler calls: 9006, compilation errors: 8956, runtime errors: 0, failed runs: 42, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1284 / 1335 :::: Compiler calls: 9019, compilation errors: 8968, runtime errors: 0, failed runs: 43, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1283 / 1335 :::: Compiler calls: 9514, compilation errors: 9460, runtime errors: 0, failed runs: 44, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1283 / 1335 :::: Compiler calls: 9517, compilation errors: 9463, runtime errors: 0, failed runs: 45, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1283 / 1335 :::: Compiler calls: 9519, compilation errors: 9470, runtime errors: 0, failed runs: 46, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1283 / 1335 :::: Compiler calls: 9520, compilation errors: 9471, runtime errors: 0, failed runs: 47, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1282 / 1335 :::: Compiler calls: 9544, compilation errors: 9486, runtime errors: 0, failed runs: 48, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1282 / 1335 :::: Compiler calls: 9554, compilation errors: 9498, runtime errors: 0, failed runs: 49, ok runs: 0
